bid,bidtime,bidderrate,openbid,price,item,auction_type,bid_no
-0.2348259872166084,-0.7370103018634703,-0.26095957604476505,0.08680974210199043,-0.4595786199488771,Cartier wristwatch,3,-1.1283527053132325
-0.39570513808468155,-0.5838385119456602,-0.26095957604476505,0.08680974210199043,-0.4595786199488771,Cartier wristwatch,3,-1.0278060057434282
-0.35280403118652875,-0.5835505630710235,-0.24403456645964447,0.08680974210199043,-0.4595786199488771,Cartier wristwatch,3,-0.9272593061736238
-0.2884523708392995,-0.583440196499477,-0.24403456645964447,0.08680974210199043,-0.4595786199488771,Cartier wristwatch,3,-0.8267126066038195
-0.2294633488543393,-0.4553361402400501,-0.22710955687452392,0.08680974210199043,-0.4595786199488771,Cartier wristwatch,3,-0.7261659070340152
-0.6080656172305381,-1.5150087444987985,-0.24403456645964447,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-1.1283527053132325
-0.6075293533943112,-1.4615261826983246,-0.2524970712522048,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-1.0278060057434282
-0.6069930895580843,-1.4582558469203915,-0.24403456645964447,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-0.9272593061736238
-0.5565842889527547,-1.4574297572814847,-0.2524970712522048,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-0.8267126066038195
-0.6059205618856305,-1.4505675289852105,-0.24403456645964447,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-0.7261659070340152
-0.5994853958509075,-1.4505098562278984,-0.24403456645964447,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-0.6256192074642107
-0.5887601191263694,-1.4504476194394322,-0.24403456645964447,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-0.5250725078944064
-0.567309565677293,-1.4503704458217344,-0.24403456645964447,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-0.42452580832460207
-0.5029579053300637,-1.450322730950577,-0.24403456645964447,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-0.32397910875479774
-0.5458590122282165,-1.341960598904526,-0.2524970712522048,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-0.22343240918499338
-0.5029579053300637,-1.0844654296001925,-0.13402200415636079,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-0.12288570961518903
-0.39570513808468155,-1.0844268427913437,-0.13402200415636079,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,-0.022339010045384678
-0.4493315217073726,-1.0332449676045004,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,0.07820768952441967
-0.39570513808468155,-1.0330528633841016,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,0.17875438909422403
-0.3881974443775048,-1.0329520397867864,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,0.27930108866402836
-0.18119960359391737,-0.7881444621791561,-0.2524970712522048,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,0.3798477882338327
-0.35280403118652875,-0.7379849299708495,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,0.4803944878036371
-0.33135347773745233,-0.7378073476677596,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,0.5809411873734415
-0.2884523708392995,-0.7376202223904381,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,0.6814878869432458
-0.26700181739022305,-0.7372360139496406,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,0.7820345865130501
-0.2348259872166084,-0.737125647378094,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,0.8825812860828545
-0.18119960359391737,-0.7369766939976985,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,0.9831279856526588
-0.15974905014484095,-0.7368613484830747,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,1.0836746852224632
-0.07394683634853526,-0.6968397742039757,-0.2524970712522048,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,1.1842213847922676
-0.07394683634853526,-0.6676901370460614,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,1.284768084362072
-0.05249628289945884,-0.667546162608743,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,1.3853147839318762
0.033305930896846844,-0.6594736362327644,-0.2524970712522048,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,1.4858614835016806
0.033305930896846844,-0.5964588879108196,-0.15940951853404164,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,1.586408183071485
0.05475648434592326,-0.596410758127739,-0.15940951853404164,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,1.6869548826412895
0.05475648434592326,-0.5947876226845428,-0.26095957604476505,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,1.7875015822110938
0.0869323145195379,-0.5920023189447224,-0.15940951853404164,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,1.8880482817808981
0.14055869814222896,-0.5797134576061258,-0.2524970712522048,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,1.9885949813507025
0.15128397486676717,-0.41980930682397405,-0.2524970712522048,-0.3200379090613536,-0.1758374847907578,Cartier wristwatch,3,2.089141680920507
-0.3978501934295892,-1.3658180344832045,-0.10863448977867993,0.08680974210199043,-0.42359544838600804,Cartier wristwatch,3,-1.1283527053132325
-0.39570513808468155,-0.5521151761287102,-0.22710955687452392,0.08680974210199043,-0.42359544838600804,Cartier wristwatch,3,-1.0278060057434282
-0.18119960359391737,-0.43733228207257124,-0.24403456645964447,0.08680974210199043,-0.42359544838600804,Cartier wristwatch,3,-0.9272593061736238
-0.23480453666315937,-0.4186998323415848,-0.10863448977867993,0.08680974210199043,-0.42359544838600804,Cartier wristwatch,3,-0.8267126066038195
-0.1811781530404683,-0.41863759555311864,-0.10863448977867993,0.08680974210199043,-0.42359544838600804,Cartier wristwatch,3,-0.7261659070340152
-0.2712919280800383,-1.5414639436280533,0.813778532610391,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-1.1283527053132325
-0.27772709411476126,-1.3577741370299203,-0.049396956230757946,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-1.0278060057434282
-0.1790545482490097,-1.3576733134326053,-0.049396956230757946,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-0.9272593061736238
-0.16403916083465622,-1.3304592403959874,0.813778532610391,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-0.8267126066038195
0.02472570951721628,-1.3175986304273486,0.5683658936261428,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-0.7261659070340152
-0.09539738979761168,-1.2254392238905667,-0.2355720616670842,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-0.6256192074642107
-0.0739253857950862,-0.8184703746390801,-0.049396956230757946,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-0.5250725078944064
0.14055869814222896,-0.7388255415270654,-0.18479703291172248,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-0.42452580832460207
0.0869323145195379,-0.7103484765965081,-0.2524970712522048,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-0.32397910875479774
0.14055869814222896,-0.7100650917530258,-0.2524970712522048,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-0.22343240918499338
0.15128397486676717,-0.7099642681557108,-0.2524970712522048,0.09091973368006909,-0.1758374847907578,Cartier wristwatch,3,-0.12288570961518903
